ID	FORM	LEMMA	CPOS	POS	FEATS	HEAD	DEPREL	PHEAD	PDEPREL	ID_TOKEN_NELL_INTERVENTO	CUE	SCOPE
# legislatura="18" numero="6" anno="2018" mese="04" giorno="17" ramo="camera"
# INTERVENTO NUMERO 0
# id="tit00000.int00010" cognomeNome="SIBILIA Carlo"
# sent_id = 1
# text = Segretario, legge il processo verbale della seduta del 10 aprile 2018.
1	Segretario	_	_	_	_	3	vocative	_	_	1	DESCR.	DESCR.
2	,	_	_	_	_	1	punct	_	_	2	DESCR.	DESCR.
3	legge	_	_	_	_	0	root	_	_	3	DESCR.	DESCR.
4	il	_	_	_	_	5	det	_	_	4	DESCR.	DESCR.
5	processo	_	_	_	_	3	obj	_	_	5	DESCR.	DESCR.
6	verbale	_	_	_	_	5	amod	_	_	6	DESCR.	DESCR.
7-8	della	_	_	_	_	_	_	_	_	_	_	_
7	di	_	_	_	_	9	case	_	_	7	DESCR.	DESCR.
8	la	_	_	_	_	9	det	_	_	8	DESCR.	DESCR.
9	seduta	_	_	_	_	5	nmod	_	_	9	DESCR.	DESCR.
10-11	del	_	_	_	_	_	_	_	_	_	_	_
10	di	_	_	_	_	12	case	_	_	10	DESCR.	DESCR.
11	il	_	_	_	_	12	det	_	_	11	DESCR.	DESCR.
12	10	_	_	_	_	9	nmod	_	_	12	DESCR.	DESCR.
13	aprile	_	_	_	_	12	flat	_	_	13	DESCR.	DESCR.
14	2018	_	_	_	_	12	flat	_	_	14	DESCR.	DESCR.
15	.	_	_	_	_	3	punct	_	_	15	DESCR.	DESCR.
# Titolo per i prossimi 1 interventi: Missioni.
# INTERVENTO NUMERO 1
# id="tit00010.int00010" cognomeNome="FICO Roberto" nominativo="PRESIDENTE"
# sent_id = 1
# text = Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Boschi, Cirielli, De Micheli, Ferri, Gregorio Fontana, Franceschini, Giacomelli, Lotti, Picchi e Pizzetti sono in missione a decorrere dalla seduta odierna.
1	Comunico	_	_	_	_	0	root	_	_	1	O	_
2	che	_	_	_	_	44	mark	_	_	2	O	_
3	,	_	_	_	_	44	punct	_	_	3	O	_
4-5	ai	_	_	_	_	_	_	_	_	_	_	_
4	a	_	_	_	_	6	case	_	_	4	O	_
5	i	_	_	_	_	6	det	_	_	5	O	_
6	sensi	_	_	_	_	44	obl	_	_	6	O	_
7-8	dell'	_	_	_	_	_	_	_	_	_	_	_
7	di	_	_	_	_	9	case	_	_	7	O	_
8	l'	_	_	_	_	9	det	_	_	8	O	_
9	articolo	_	_	_	_	6	nmod	_	_	9	O	_
10	46	_	_	_	_	9	nummod	_	_	10	O	_
11	,	_	_	_	_	9	punct	_	_	11	O	_
12	comma	_	_	_	_	9	nmod	_	_	12	O	_
13	2	_	_	_	_	12	nummod	_	_	13	O	_
14	,	_	_	_	_	9	punct	_	_	14	O	_
15-16	del	_	_	_	_	_	_	_	_	_	_	_
15	di	_	_	_	_	17	case	_	_	15	O	_
16	il	_	_	_	_	17	det	_	_	16	O	_
17	Regolamento	_	_	_	_	9	nmod	_	_	17	O	_
18	,	_	_	_	_	6	punct	_	_	18	O	_
19	i	_	_	_	_	20	det	_	_	19	O	_
20	deputati	_	_	_	_	44	nsubj	_	_	20	O	_
21	Boschi	_	_	_	_	20	nmod	_	_	21	O	_
22	,	_	_	_	_	23	punct	_	_	22	O	_
23	Cirielli	_	_	_	_	21	conj	_	_	23	O	_
24	,	_	_	_	_	25	punct	_	_	24	O	_
25	De	_	_	_	_	21	conj	_	_	25	O	_
26	Micheli	_	_	_	_	25	flat:name	_	_	26	O	_
27	,	_	_	_	_	28	punct	_	_	27	O	_
28	Ferri	_	_	_	_	21	conj	_	_	28	O	_
29	,	_	_	_	_	30	punct	_	_	29	O	_
30	Gregorio	_	_	_	_	21	conj	_	_	30	O	_
31	Fontana	_	_	_	_	30	flat:name	_	_	31	O	_
32	,	_	_	_	_	33	punct	_	_	32	O	_
33	Franceschini	_	_	_	_	21	conj	_	_	33	O	_
34	,	_	_	_	_	35	punct	_	_	34	O	_
35	Giacomelli	_	_	_	_	21	conj	_	_	35	O	_
36	,	_	_	_	_	37	punct	_	_	36	O	_
37	Lotti	_	_	_	_	21	conj	_	_	37	O	_
38	,	_	_	_	_	39	punct	_	_	38	O	_
39	Picchi	_	_	_	_	21	conj	_	_	39	O	_
40	e	_	_	_	_	41	cc	_	_	40	O	_
41	Pizzetti	_	_	_	_	21	conj	_	_	41	O	_
42	sono	_	_	_	_	44	cop	_	_	42	O	_
43	in	_	_	_	_	44	case	_	_	43	O	_
44	missione	_	_	_	_	1	ccomp	_	_	44	O	_
45	a	_	_	_	_	46	mark	_	_	45	O	_
46	decorrere	_	_	_	_	44	advcl	_	_	46	O	_
47-48	dalla	_	_	_	_	_	_	_	_	_	_	_
47	da	_	_	_	_	49	case	_	_	47	O	_
48	la	_	_	_	_	49	det	_	_	48	O	_
49	seduta	_	_	_	_	46	obl	_	_	49	O	_
50	odierna	_	_	_	_	49	amod	_	_	50	O	_
51	.	_	_	_	_	1	punct	_	_	51	O	_
# sent_id = 2
# text = I deputati in missione sono complessivamente quattordici, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell' allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).
1	I	_	_	_	_	2	det	_	_	52	O	_
2	deputati	_	_	_	_	7	nsubj	_	_	53	O	_
3	in	_	_	_	_	4	case	_	_	54	O	_
4	missione	_	_	_	_	2	nmod	_	_	55	O	_
5	sono	_	_	_	_	7	cop	_	_	56	O	_
6	complessivamente	_	_	_	_	7	advmod	_	_	57	O	_
7	quattordici	_	_	_	_	0	root	_	_	58	O	_
