ID	TOKEN	CUE	SCOPES					
*** INTERVENTO NUMERO 7 ***								
0	Chiedo	O	-					-
1	di	O	-					
2	parlare	O	-					
3	.	O	-					
*** INTERVENTO NUMERO 9 ***								
0	Presidente	O	-					
1	,	O	-					
2	per	O	-					
3	un	O	-					
4	richiamo	O	-					
5	al	O	-					
6	Regolamento	O	-					
7	,	O	-					
8	ai	O	-					
9	sensi	O	-					
10	dell'	O	-					
11	articolo	O	-					
12	14	O	-					
13	.	O	-					
14	Come	O	-					
15	Presidente	O	-					
16	,	O	-					
17	lei	O	-					
18	ha	O	-					
19	giustamente	O	-					
20	dato	O	-					
21	notizia	O	-					
22	all'	O	-					
23	Assemblea	O	-					
24	…	O	-					
*** INTERVENTO NUMERO 11 ***								
0	Per	O	-					
1	un	O	-					
2	richiamo	O	-					
3	al	O	-					
4	Regolamento	O	-					
5	,	O	-					
6	Presidente	O	-					
7	,	O	-					
8	ai	O	-					
9	sensi	O	-					
10	dell'	O	-					
11	articolo	O	-					
12	14	O	-					
13	,	O	-					
14	primo	O	-					
15	e	O	-					
16	secondo	O	-					
17	comma	O	-					
18	.	O	-					
19	Lei	O	-					
20	,	O	-					
21	giustamente	O	-					
22	,	O	-					
23	ha	O	-					
24	dato	O	-					
25	comunicazione	O	-					
26	della	O	-					
27	costituzione	O	-					
28	del	O	-					
29	gruppo	O	-					
30	“	O	-					
31	Liberi	O	-					
32	e	O	-					
33	Uguali	O	-					
34	”	O	-					
35	";"	O	-					
36	un	O	-					
37	gruppo	O	-					
38	in	O	-					
39	deroga	O	-					
40	,	O	-					
41	costituito	O	-					
42	con	O	-					
43	l'	O	-					
44	unanimità	O	-					
45	dell'	O	-					
46	Ufficio	O	-					
47	di	O	-					
48	Presidenza	O	-					
49	.	O	-					
50	Leggo	O	-					
51	sui	O	-					
52	social	O	-					
53	,	O	-					
54	che	O	-					
55	ormai	O	-					
56	sono	O	-					
57	diventati	O	-					
58	uno	O	-					
59	strumento	O	-					
60	di	O	-					
61	dibattito	O	-					
62	politico	O	-					
63	in	O	-					
64	sostituzione	O	-					
65	di	O	-					
66	questa	O	-					
67	Assemblea	O	-					
68	,	O	-					
69	attacchi	O	-					
70	alla	O	-					
71	sua	O	-					
72	persona	O	-					
73	,	O	-					
74	Presidente	O	-					
75	-	O	-					
76	attacchi	O	-					
77	peraltro	O	-					
78	ingiusti	O	-					
79	,	O	-					
80	alla	O	-					
81	sua	O	-					
82	persona	O	-					
83	-	O	-					
84	,	O	-					
85	perché	O	-					
86	si	O	-					
87	dice	O	-					
88	:	O	-					
89	ma	O	-					
90	come	O	-					
91	,	O	-					
92	il	O	-					
93	presidente	O	-					
94	Fico	O	-					
95	autorizza	O	-					
96	oggi	O	-					
97	un	O	-					
98	gruppo	O	-					
99	in	O	-					
100	deroga	O	-					
101	quando	O	-					
102	,	O	-					
103	nel	O	-					
104	2013	O	-					
105	,	O	-					
106	“	O	-					
107	postava	O	-					
108	”	O	-					
109	sul	O	-					
110	blog	O	-					
111	del	O	-					
112	suo	O	-					
113	movimento	O	-					
114	attacchi	O	-					
115	feroci	O	-					
116	contro	O	-					
117	i	O	-					
118	gruppi	O	-					
119	in	O	-					
120	deroga	O	-					
121	dicendo	O	-					
122	che	O	-					
123	erano	O	-					
124	in	O	-					
125	deroga	O	-					
126	al	O	-					
127	Regolamento	O	-					
128	,	O	-					
129	dicendo	O	-					
130	che	O	-					
131	erano	O	-					
132	soldi	O	-					
133	buttati	O	-					
134	-	O	-					
135	non	BN	-					
136	dico	O	135					
137	dove	O	135					
138	per	O	-					
139	una	O	-					
140	questione	O	-					
141	di	O	-					
142	rispetto	O	-					
143	di	O	-					
144	quest'	O	-					
145	Aula	O	-					
146	-	O	-					
147	e	O	-					
148	che	O	-					
149	questo	O	-					
150	era	O	-					
151	il	O	-					
152	comportamento	O	-					
153	tipico	O	-					
154	della	O	-					
155	casta	O	-					
156	e	O	-					
157	dei	O	-					
158	partiti	O	-					
159	irresponsabili	O	-					
160	?	O	-					
161	Io	O	-					
162	credo	BS	-					
163	,	O	162					
164	Presidente	O	-					
165	,	O	-					
166	che	O	162					
167	lei	O	162					
168	oggi	O	162					
169	abbia	O	162					
170	l'	O	162					
171	occasione	O	162					
172	di	O	162					
173	porre	O	162					
174	delle	O	162					
175	precisazioni	O	162					
176	su	O	162					
177	questa	O	162					
178	leggenda	O	162					
179	dei	O	162					
180	gruppi	O	162					
181	in	O	162					
182	deroga	O	162					
183	,	O	162					
184	tanto	O	162					
185	per	O	162					
186	cominciare	O	162					
187	dicendo	O	162					
188	che	O	162					
189	non	BN	162					
190	è	O	162, 189					
191	il	O	162, 189					
192	Presidente	O	162, 189					
193	della	O	162, 189					
194	Camera	O	162, 189					
195	il	O	162, 189					
196	proprietario	O	162, 189					
197	di	O	162, 189					
198	questo	O	162, 189					
199	ramo	O	162, 189					
200	del	O	162, 189					
201	Parlamento	O	162, 189					
202	,	O	162, 189					
203	e	O	162					
204	che	O	162					
205	non	BN	162					
206	li	O	162, 205					
207	autorizza	O	162, 205					
208	il	O	162, 205					
209	Presidente	O	162, 205					
210	ma	O	162					
211	l'	O	162					
212	Ufficio	O	162					
213	di	O	162					
214	Presidenza	O	162					
215	,	O	162					
216	con	O	162					
217	un	O	162					
218	voto	O	162					
219	.	O	162					
220	In	O	162					
221	secondo	O	162					
222	luogo	O	162					
223	,	O	162					
224	che	O	162					
225	i	O	162, 229					
226	gruppi	O	162, 229					
227	in	O	162, 229					
228	deroga	O	162, 229					
229	non	BN	162					
230	sono	O	162, 229					
231	gruppi	O	162, 229					
232	in	O	162, 229					
233	deroga	O	162, 229					
234	al	O	162, 229					
235	Regolamento	O	162, 229					
236	,	O	162, 229					
237	Presidente	O	-					
238	,	O	-					
239	ma	O	162					
240	sono	O	162					
241	gruppi	O	162					
242	in	O	162					
243	deroga	O	162					
244	al	O	162					
245	numero	O	162					
246	…	O	162					
*** INTERVENTO NUMERO 13 ***								
0	No	BN	-					
1	,	O	-					
2	Presidente	O	-					
3	,	O	-					
4	è	O	-					
5	pertinente	O	-					
6	eccome	O	-					
7	!	O	-					
*** INTERVENTO NUMERO 15 ***								
0	Riguarda	O	-					
1	esattamente	O	-					
2	l'	O	-					
3	articolo	O	-					
4	di	O	-					
5	cui	O	-					
6	stiamo	O	-					
7	parlando	O	-					
8	:	O	-					
9	la	O	11					
10	deroga	O	11					
11	non	BN	-					
12	è	O	11					
13	al	O	11					
14	Regolamento	O	11					
15	,	O	11					
16	come	O	-					
17	sostengono	O	-					
18	anche	O	-					
19	dei	O	-					
20	colleghi	O	-					
21	che	O	-					
22	in	O	-					
23	questo	O	-					
24	ramo	O	-					
25	del	O	-					
26	Parlamento	O	-					
27	dovrebbero	O	-					
28	sapere	O	-					
29	di	O	-					
30	che	O	-					
31	cosa	O	-					
32	parlano	O	-					
33	.	O	-					
*** INTERVENTO NUMERO 17 ***								
0	Ma	O	-					
1	perché	O	-					
2	,	O	-					
3	Presidente	O	-					
4	,	O	-					
5	quando	O	-					
6	parla	O	-					
7	un	O	-					
8	deputato	O	-					
9	,	O	-					
10	che	O	-					
11	ha	O	-					
12	tutto	O	-					
13	il	O	-					
14	diritto	O	-					
15	di	O	-					
16	fare	O	-					
17	un	O	-					
18	richiamo	O	-					
19	al	O	-					
20	Regolamento	O	-					
21	-	O	-					
22	peraltro	O	-					
23	che	O	25					
24	mi	O	-					
25	sembra	BS	-					
26	abbastanza	O	25					
27	puntuale	O	25					
28	-	O	-					
29	deve	O	-					
30	essere	O	-					
31	interrotto	O	-					
32	?	O	-					
*** INTERVENTO NUMERO 19 ***								
0	Presidente	O	-					
1	,	O	-					
2	essendo	O	-					
3	una	O	-					
4	sciocchezza	O	-					
5	che	O	-					
6	c'	O	-					
7	è	O	-					
8	una	O	-					
9	deroga	O	-					
10	al	O	-					
11	Regolamento	O	-					
12	,	O	-					
13	perché	O	-					
14	è	O	-					
15	il	O	-					
